ticker,segment,high_nii,name,price,market_cap,p_tbv,tbv_ps,pb,rotce,roa_ttm,roe,trailing_pe,forward_pe,fwd_eps_growth,rev_growth,div_yield,equity_assets,loan_deposit,securities_assets,nib_pct,nim,nim_trend_bps,funding_cost,good_score,rate_score,flags
INBK,REGIONAL,False,First Internet Bancorp,24.69,215214384,0.604081727412306,40.871953048081934,0.59623283,-0.09193735498839907,-0.0058242384134886875,-0.08976,,5.2309327,1.2405,0.137,0.0097,0.06319567875556228,0.7069097588148505,0.026570779076168026,0.030011140887055494,0.034407913667693794,54.27611289140325,0.039804956593350926,47.5,26.1,
NIC,REGIONAL,False,"Nicolet Bankshares, Inc.",137.28,2917461248,2.2632929142287947,60.65498598831493,1.2911235,0.14496760443344847,0.012891948007873402,0.07749,16.131609,10.329571,0.117,0.465,0.0095999995,0.14490856522428663,0.8525487699816007,0.04978185481514964,0.20101836417264268,0.03798127144992036,-23.008892286976515,0.01991564018241865,55.2,42.5,
WSFS,REGIONAL,False,WSFS Financial Corporation,71.77,3735201024,2.124560922936912,33.78109764947944,1.3997347,0.17718752564873924,0.014600234607792176,0.11468001,12.793225,10.8277645,0.060500003,0.161,0.0099,0.12324167000423487,0.6804039399435405,0.16105477227622092,0.34499424100121245,0.04592106287953162,17.934419394623895,0.01614491350839415,50.7,56.0,
FBLA,REGIONAL,False,"FB Bancorp, Inc.",14.08,227553760,0.7667396670272019,18.363468861068434,0.74461895,0.002080047201790774,0.0005319855727426863,0.00976,82.823524,,,-0.004,,0.23534949976600938,0.8836837487331557,,,0.06288171118110947,25.340512002116622,0.02181576717924414,43.9,57.7,
OCFC,REGIONAL,False,OceanFirst Financial Corp.,18.14,1044865216,0.9135921143422732,19.855688020095947,0.6259057,0.061587031122243764,0.004992334599299494,0.041479997,15.372882,7.632528,0.2378,0.085,0.044099998,0.11468325545659293,0.9913372420516612,0.006061896345344048,0.1575036061583827,0.03460753671177269,4.762326966118863,0.027095230165589932,52.6,36.4,
WASH,REGIONAL,False,"Washington Trust Bancorp, Inc.",33.4,636790784,1.3302058134676926,25.108896429290187,1.1695907,0.11277480628172695,0.007948235908169374,0.098579995,12.189781,9.767939,0.0919,-0.07,0.0671,0.08465031870839652,0.9692626755860484,0.13533634836286126,0.11335074534821739,0.032381880050804196,78.12656844551597,0.030361117818361042,42.8,33.0,
RRBI,REGIONAL,False,"Red River Bancshares, Inc.",91.24,600787648,1.609284279798353,56.69601147873797,1.6074417,0.12619899422958702,0.01364254173803824,0.12562001,13.67916,12.111509,0.039100002,0.094,0.0088,0.111553815813064,0.7584844879469507,0.19125829199784855,,0.03949889215939685,24.715594856255866,0.015249842346690455,44.0,44.4,
PGC,REGIONAL,False,Peapack-Gladstone Financial Corporation,44.22,783506688,1.195082244386517,37.00163750880583,1.156018,0.07239130499332405,0.005932460310145305,0.06644,17.902834,9.265584,0.30040002,0.255,0.0045,0.09081792162972556,0.9339201021391388,0.0874347396046092,0.22624402242584557,0.03398927847547622,58.85369049055671,0.02389511746287329,45.4,52.7,
AMAL,REGIONAL,False,Amalgamated Financial Corp.,42.42,1266972800,1.5960254207323987,26.578524031612183,1.5683229,0.1377737483354632,0.011991904610622713,0.13558,12.331394,9.384955,0.1531,0.047,0.0146,0.08805839170279184,0.6071913665841534,,0.40550671771040747,0.06456822876788634,35.088185422497766,0.015814633222273555,53.9,72.4,
BHRB,REGIONAL,False,Burke & Herbert Financial Services Corp.,64.49,1299460992,1.6444959793618732,39.2156629200301,1.1360674,0.15956242937446322,0.014819367088594817,0.14478,8.364461,7.3145523,0.091800004,0.029,0.0341,0.10904837474524487,0.842780900672982,,0.21588641662975255,0.05384813720508058,15.376067248273825,0.02258260883361772,66.6,54.2,
ATLO,REGIONAL,False,Ames National Corporation,29.81,264033728,1.3580305322388182,21.950905588886805,1.272029,0.11636674754292455,0.010103914047320122,0.1103,12.318181,10.570922,0.0444,0.28,0.0322,0.09688038350760476,0.6776511425286482,0.20937401839593117,0.17708484502191021,0.04877667153190074,194.3266847821587,0.016169981944876056,39.2,56.4,
CASH,REGIONAL,False,"Pathward Financial, Inc.",79.89,1686480640,3.1074541362136348,25.709148549926542,2.0058753,0.3572347858757077,0.026202968052467926,0.22820999,9.499406,8.261634,0.1145,-0.037,0.0025,0.1197151622117938,0.8023410648810191,0.04702899823252323,0.9603291080056107,0.09951118838781639,-175.91864644711353,0.0017388474739090977,68.6,66.9,
SRBK,REGIONAL,False,"SR Bancorp, Inc.",18.72,139176832,0.7545504754676063,24.809473466170612,0.7491595,0.024242881799174148,0.004162151818088042,0.02437,32.275864,22.829268,,0.076,0.0107,0.1613100704009795,0.9605440883780217,2.7985482530937076e-05,0.12440458885882327,0.036379594739789044,-4.224113383819242,0.020494118417430273,38.8,41.6,
FFBC,REGIONAL,False,First Financial Bancorp.,30.85,3237071360,1.9096018876739889,16.155199782284033,1.1008421,0.18129274905746398,0.014000428836806179,0.10245,10.90106,9.001675,0.0461,0.323,0.0324,0.12908906415614,0.7084769773201459,0.04347278500725313,0.22226769297497892,0.055420033051512774,49.935582064862956,0.023373319604859836,56.3,61.0,
MBIN,REGIONAL,False,Merchants Bancorp,47.51,2182391040,1.0428526195804202,45.55773184816384,1.2267293,0.11301499099941943,0.011758330368290834,0.10165,11.587805,8.33996,0.111899994,0.158,0.0093,0.11467020953182157,1.243813868284857,0.03276941953220441,0.03874873154236341,0.030675205387284066,-19.71670622527951,0.05080286032206691,60.5,18.0,
CCB,REGIONAL,False,Coastal Financial Corporation,70.24,1071076224,2.126155354949361,33.03615600642358,2.1251361,0.10346301515268573,0.010362860778723084,0.10335,21.881618,10.027123,0.5689,0.17,,0.0889437163445436,0.7917968945267403,0.0024808305476736675,0.11488636354619687,0.0831959225380084,-19.284476469631635,0.028527192467561524,43.9,38.8,
ORRF,REGIONAL,False,"Orrstown Financial Services, Inc.",37.69,740526016,1.4879502057136886,25.33014872088556,1.225412,0.18403155982586242,0.015429802976371119,0.14895001,8.624714,8.780431,0.014199999,0.054,0.030199999,0.10815618224369783,0.8681335447108369,0.03896756160870092,0.19072987476401557,0.04629070952874962,46.9372874563171,0.022448020037040994,62.0,53.8,
