Date,USDINR
20250101,85.22
20250610,85.2
20250611,85.1
20250612,85.05
20250616,85.6
20250618,85.95
20250620,86.2
20250623,86.35
20250624,85.75
20250625,85.6
20250626,85.3
20250627,85.1
20250630,85.1
20250701,85.2
20250702,85.2
20250703,84.9
20250707,85.4
20250709,85.45
20250710,85.2
20250711,85.4
20250714,85.6
20250715,85.55
20250716,85.6
20250717,85.5
20250718,85.6
20250721,85.9
20250722,85.85
20250723,86.0
20250724,85.9
20250725,86.15
20250728,86.05
20250729,86.4
20250730,86.9
20250731,87.15
20250801,86.95
20250804,87.15
20250805,87.45
20250806,87.3
20250807,87.3
20250808,87.15
20250811,87.1
20250812,87.3
20250813,87.0
20250814,87.1
20250815,87.1
20250818,87.05
20250819,86.6
20250820,86.75
20250821,86.6
20250822,86.95
20250825,87.0
20250826,87.34
20250827,87.34
20250828,87.12
20250829,87.8
20250902,87.7
20250903,87.7
20250904,87.7
20250905,87.7
20250908,87.6
20250909,87.6
20250910,87.75
20250912,87.95
20250915,87.85
20250916,87.65
20250917,87.45
20250918,87.55
20250919,87.8
20250922,87.8
20250923,88.2
20250924,88.45
20250925,88.3
20250926,88.35
20250929,88.25
20250930,88.35
20251001,88.4
20251002,88.4
20251003,88.25
20251006,88.3
20251009,88.35
20251010,88.37
20251013,88.35
20251014,88.34
20251015,87.7
20251016,87.4
20251017,87.4
20251020,87.5
20251021,87.5
20251022,87.5
20251023,87.4
20251024,87.4
20251027,87.8
20251028,87.9
20251029,87.8
20251030,88.2
20251031,88.2
20251103,88.36
20251104,88.09
20251105,88.09
20251106,88.16
20251107,88.25
20251110,88.25
20251111,88.25
20251112,88.2
20251113,88.25
20251114,88.3
20251117,88.32
20251118,88.25
20251120,88.2
20251121,88.95
20251124,88.75
20251125,88.65
20251128,89.0
20251201,89.3
20251202,89.3
20251203,89.7
20251204,89.6
20251208,89.65
20251209,89.7
20251210,89.45
20251211,89.95
20251215,90.3
20251216,90.6
20251217,89.65
20251218,89.75
20251219,89.35
20251223,89.25
20251226,89.45
20251229,89.5
20251230,89.5
20251231,89.47
